PARS,NAME,TYPE,LENGTH,INITIAL_VALUE,FLAG_TEST_PAR,FLAG_MODE_NONE_ONLY,FLAG_FIELD_REG,FLAG_CURRENT_REG,FLAG_VOLTAGE_REG,GROUP_PC_SIM,GROUP_PC_SIM_NOISE_AND_TONE,GROUP_INVERT_LIMITS,GROUP_V_LIMITS_REF,GROUP_V_LIMITS_ERR,GROUP_I_LIMITS_MEAS,GROUP_I_LIMITS_REF,GROUP_I_LIMITS_ERR,GROUP_B_LIMITS_MEAS,GROUP_B_LIMITS_REF,GROUP_B_LIMITS_ERR,GROUP_I_LIMITS_RMS,GROUP_I_LIMITS_RMS_LOAD,GROUP_I_MEAS_REG_SELECT,GROUP_I_MEAS_FILTER,GROUP_B_MEAS_REG_SELECT,GROUP_B_MEAS_FILTER,GROUP_MEAS_SIM_DELAYS,GROUP_MEAS_SIM_NOISE_AND_TONE,GROUP_LOAD,GROUP_LOAD_SAT,GROUP_LOAD_SIM,GROUP_VREG,GROUP_IREG,GROUP_BREG,GROUP_LOAD_TEST,GROUP_LOAD_SAT_TEST,GROUP_IREG_TEST,GROUP_BREG_TEST
REG,ERR_RATE,enum REG_err_rate,1,REG_ERR_RATE_REGULATION,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES
BREG,PERIOD_ITERS,uint32_t,REG_NUM_LOADS,10,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,PURE_DELAY_PERIODS,REG_float,REG_NUM_LOADS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,TRACK_DELAY_PERIODS,REG_float,REG_NUM_LOADS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE1_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLES2_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLES2_Z,REG_float,REG_NUM_LOADS,0.5,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE4_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE5_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,R,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG,S,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG,T,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG_TEST,R,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
BREG_TEST,S,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
BREG_TEST,T,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
IREG,PERIOD_ITERS,uint32_t,REG_NUM_LOADS,10,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,PURE_DELAY_PERIODS,REG_float,REG_NUM_LOADS,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,TRACK_DELAY_PERIODS,REG_float,REG_NUM_LOADS,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE1_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLES2_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLES2_Z,REG_float,REG_NUM_LOADS,0.5,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE4_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE5_HZ,REG_float,REG_NUM_LOADS,10,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,R,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG,S,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG,T,REG_float,REG_NUM_RST_COEFFS,0,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG_TEST,R,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
IREG_TEST,S,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
IREG_TEST,T,REG_float,REG_NUM_RST_COEFFS,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
LIMITS,B_POS,REG_float,REG_NUM_LOADS,1,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_MIN,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_NEG,REG_float,REG_NUM_LOADS,-1,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_RATE,REG_float,REG_NUM_LOADS,5,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_ACCELERATION,REG_float,REG_NUM_LOADS,1000000,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_CLOSELOOP,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_LOW,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_ZERO,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_ERR_WARNING,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_ERR_FAULT,REG_float,REG_NUM_LOADS,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_POS,REG_float,REG_NUM_LOADS,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_MIN,REG_float,REG_NUM_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_NEG,REG_float,REG_NUM_LOADS,-1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_RATE,REG_float,REG_NUM_LOADS,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_ACCELERATION,REG_float,REG_NUM_LOADS,1000000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_CLOSELOOP,REG_float,REG_NUM_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_LOW,REG_float,REG_NUM_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,I_ZERO,REG_float,REG_NUM_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
